Symbol 1,Symbol 2,APR,SHARPE,price
NOC,SBUX,-0.049597432957268595,-0.2283421220386411,-540.2262389473684
CVS,HD,-0.04952561586059312,-0.30644778240058784,-383.52229631578945
ABT,PM,-0.04950811227634966,-0.2976642277891015,-213.3978947368421
GOOGL,PYPL,-0.049288319643629896,-0.13222481936827807,-2320.420526315789
MDLZ,UNH,-0.04922766679155155,-0.4409476818140359,-544.4379084210526
PFE,TXN,-0.049040424104100366,-0.2039783519967735,-213.90631578947367
PFE,SPGI,-0.04883444899001255,-0.23301263595916308,-384.6221052631579
ANTM,HON,-0.04880350491969665,-0.3000253064067511,-670.8873821052632
DIS,PM,-0.04858214561063401,-0.23805397478749377,-204.57999999999998
AMD,AXP,-0.04790940141018174,-0.06501356168249094,-251.28842105263158
NFLX,PFE,-0.04783663114977932,-0.06508192157228024,-237.90842105263158
AMT,ISRG,-0.04779716843177406,-0.22820749335530036,-461.18161105263164
GOOG,PYPL,-0.047788026203229195,-0.12603257586540859,-2327.462631578948
CVS,DHR,-0.04726659704985403,-0.24830130194983002,-348.43195052631586
CB,CMCSA,-0.047117294329615644,-0.30949438685426145,-242.9316505263158
CVX,ISRG,-0.04710233032683475,-0.14659460719904502,-377.71263157894737
MMM,PM,-0.04709692233128604,-0.3572095603557696,-242.93526315789475
CVS,T,-0.04708481059174641,-0.30005381155264793,-114.14315789473683
CVS,TMUS,-0.04706902036595273,-0.25710620972037734,-225.74894736842106
MSFT,UNH,-0.047066141890420354,-0.31049634290822736,-743.94054
BMY,SCHW,-0.04703518302014431,-0.2278601590929417,-140.48263157894738
PYPL,XOM,-0.04669461593674973,-0.0480887589049933,-175.95263157894738
CCI,CVS,-0.046518085632027306,-0.2603023115293215,-267.99778157894735
INTU,NOC,-0.04621024757423642,-0.14903862456777484,-859.4878178947368
COST,PYPL,-0.046161271400648296,-0.1060036838597772,-544.8715789473683
NOC,TMUS,-0.04607540469802107,-0.20347484343650438,-596.6057126315789
AVGO,NFLX,-0.04601826573725054,-0.11138147187728407,-724.404637368421
CME,MDT,-0.04581425257649341,-0.3105177118450177,-293.7465015263158
AXP,C,-0.0457448094901044,-0.24767394946380278,-206.11526315789473
CI,NKE,-0.04563773544359773,-0.1796501552541236,-371.0094981052632
BDX,UNH,-0.045186343111873084,-0.3254479671829378,-729.8075710526316
DIS,USB,-0.045129670574767466,-0.2275029741202355,-151.21421052631578
CMCSA,VRTX,-0.04508438754198052,-0.18359204112105004,-306.63105263157894
CAT,PFE,-0.04448185146039141,-0.16356342172782276,-261.2078947368421
CVS,LMT,-0.04409558502732891,-0.26768800718179886,-523.6352389473684
DIS,KO,-0.043991706827209986,-0.24283129562116706,-163.50145394736842
ADP,TXN,-0.043956756229896254,-0.2883785747960632,-376.1676126315789
ADP,CMCSA,-0.04346492002507962,-0.2828062771790126,-254.64656
BLK,JNJ,-0.04329998444342731,-0.3140882092635239,-811.0845578947369
AAPL,ADP,-0.043257321016872075,-0.20914014355099475,-354.2912968421052
GILD,ISRG,-0.042792800778298834,-0.15573085864750133,-270.50350389473687
QCOM,UNH,-0.042720997917396475,-0.14463303584035686,-616.4828515789474
CME,CVS,-0.04205179477997201,-0.23995090807635822,-294.64865684210525
AMZN,PM,-0.04204758879131054,-0.14110311821112392,-216.63623684210523
LMT,SPGI,-0.04201348728203835,-0.20807823354689606,-763.7215547368421
MMM,UNH,-0.04192940806602463,-0.27125441989193183,-623.3984347368421
LOW,UNH,-0.041893833329174957,-0.2559043110989802,-669.7042242105263
AXP,CRM,-0.041562651064315226,-0.0678322462575267,-329.66315789473686
BMY,ISRG,-0.04142464468497542,-0.17735116201349807,-284.64
DIS,WFC,-0.041377217191225,-0.14110037508657217,-143.79105263157894
INTC,VRTX,-0.04115169985735845,-0.10846542634842601,-305.8515789473684
TMO,UNH,-0.041044935580561326,-0.26425173286989967,-1020.3502989473686
CVS,UNP,-0.041012180022953926,-0.2597732460450217,-309.72024105263154
SPGI,VRTX,-0.040562301205881224,-0.1777855262189159,-598.8678947368421
AMT,BLK,-0.04033827534908885,-0.24826827488214337,-887.8082742105264
AMD,PM,-0.040272362434637166,-0.040690560974987806,-197.58105263157893
CVX,UNP,-0.04025150055969873,-0.2074336354349366,-384.4302410526316
ADI,UNH,-0.04022035819354686,-0.2289550092778627,-640.4952484210527
CVX,MMC,-0.040210063519282024,-0.18886582084916925,-321.69105263157894
AMD,XOM,-0.04002424846434294,-0.013022238074560533,-190.82210526315788
KO,TMUS,-0.03985047096120298,-0.25337005731110546,-193.7656644736842
CVS,GILD,-0.03980951289537127,-0.2594002463836305,-154.75666178947367
ADBE,PYPL,-0.03976678726217897,-0.11506647338194921,-480.2357894736842
HON,T,-0.039593976921172835,-0.2809675364569411,-208.80578947368423
BLK,IBM,-0.039016459819882,-0.24734718395496694,-774.3356105263159
MMC,UNH,-0.038900342781918784,-0.3130039839919509,-636.5394873684211
AVGO,DIS,-0.038584129697408875,-0.1340805917689981,-639.2609531578947
ANTM,NKE,-0.03847750534305461,-0.16286188004846594,-597.2087644210527
PM,VZ,-0.03841621157083963,-0.3267290017109486,-153.39052631578946
CAT,UNH,-0.038355995665618536,-0.17348456102557636,-693.4863294736842
BDX,ISRG,-0.038159575347138985,-0.13826726454129795,-455.99597842105265
ANTM,C,-0.03789586076113738,-0.14399200905559434,-532.281592631579
